District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Sirikonda,2024-04-11,0.0,14.5
Adilabad,Sirikonda,2024-04-12,0.0,6.1
Adilabad,Sirikonda,2024-04-13,0.0,6.9
Adilabad,Sirikonda,2024-04-14,0.0,6.3
Adilabad,Sirikonda,2024-04-15,0.0,4.7
Adilabad,Sirikonda,2024-04-16,0.0,5.5
Adilabad,Sirikonda,2024-04-17,0.0,10.1
Adilabad,Sirikonda,2024-04-18,0.0,5.5
Adilabad,Sirikonda,2024-04-19,0.0,14.0
Adilabad,Sirikonda,2024-04-20,0.0,11.2
Adilabad,Sirikonda,2024-04-21,0.0,10.8
Adilabad,Sirikonda,2024-04-22,0.0,9.6
Adilabad,Sirikonda,2024-04-23,0.0,7.1
Adilabad,Sirikonda,2024-04-24,0.0,9.9
Adilabad,Sirikonda,2024-04-25,0.0,5.2
Adilabad,Sirikonda,2024-04-26,0.0,7.0
Adilabad,Sirikonda,2024-04-27,0.0,10.6
Adilabad,Sirikonda,2024-04-28,0.0,8.9
Adilabad,Sirikonda,2024-04-29,0.0,5.3
Adilabad,Sirikonda,2024-04-30,0.0,5.3
Adilabad,Talamadugu,2024-04-01,0.0,7.3
Adilabad,Talamadugu,2024-04-02,0.0,6.0
Adilabad,Talamadugu,2024-04-03,0.0,5.9
Adilabad,Talamadugu,2024-04-04,0.0,5.6
Adilabad,Talamadugu,2024-04-05,0.0,10.3
Adilabad,Talamadugu,2024-04-06,0.0,9.6
Adilabad,Talamadugu,2024-04-07,0.0,8.4
Adilabad,Talamadugu,2024-04-08,0.0,10.7
Adilabad,Talamadugu,2024-04-09,0.0,15.1
Adilabad,Talamadugu,2024-04-10,0.0,16.1
Adilabad,Talamadugu,2024-04-11,0.0,12.7
Adilabad,Talamadugu,2024-04-12,0.0,11.4
Adilabad,Talamadugu,2024-04-13,0.0,13.3
Adilabad,Talamadugu,2024-04-14,0.0,10.1
Adilabad,Talamadugu,2024-04-15,0.0,13.2
Adilabad,Talamadugu,2024-04-16,0.0,5.9
Adilabad,Talamadugu,2024-04-17,0.0,7.1
Adilabad,Talamadugu,2024-04-18,0.0,8.1
Adilabad,Talamadugu,2024-04-19,0.0,8.3
Adilabad,Talamadugu,2024-04-20,0.0,8.9
